/ && GET,^/product/[0-9][[:alnum:]]*$ && GET,,,,avg,
977.7747596122964,1106.626011360384,1257.0285623643024,8.78894841298035,989.1690271353448,955.5170005182408,
1077.8301886792456,950.0000000000002,1012.3529411764725,10.21875,858.3333333333337,928.8924558587487,
1171.9827586206904,899.137931034483,984.7402597402597,9.948275862068966,822.5000000000002,919.0286624203827,
1171.9827586206904,899.137931034483,984.7402597402597,9.948275862068966,822.5000000000002,919.0286624203827,
1415.95744680851,781.2499999999995,901.8248175182488,9.966101694915258,618.6274509803927,880.263157894738,
1305.7251908396959,727.5229357798162,953.4013605442174,12.437500000000009,571.2765957446816,873.9059967585101,
1305.7251908396959,727.5229357798162,953.4013605442174,12.437500000000009,571.2765957446816,873.9059967585101,
1305.7251908396959,727.5229357798162,953.4013605442174,12.437500000000009,571.2765957446816,873.9059967585101,
1228.0991735537189,645.1923076923077,965.8823529411765,14.15000000000001,511.7021276595752,856.3479623824453,
1008.653846153846,572.9591836734694,975.2747252747256,14.81451612903227,493.0555555555557,836.0501567398125,
976.8253968253968,567.1874999999993,984.3243243243245,13.915254237288174,501.04166666666686,829.192546583851,
957.3717948717949,527.8947368421052,992.3469387755104,15.190476190476236,503.00000000000045,819.1424196018378,
957.3717948717949,527.8947368421052,992.3469387755104,15.190476190476236,503.00000000000045,819.1424196018378,
957.3717948717949,527.8947368421052,992.3469387755104,15.190476190476236,503.00000000000045,819.1424196018378,
961.0952278898258,547.2902252646696,1052.7808431417325,14.255520117513644,551.7276757649594,827.15635987072,
951.6518917425947,580.2856392941552,1098.443312723214,12.89134127945539,500.3065785698553,826.0800361669317,
954.0507221654846,612.9183861243783,1004.1931246900882,10.766071096311775,561.9181474944861,825.9418295317985,
946.7959275091296,662.7877731176327,985.6625459203265,9.303681576530902,579.5574096879413,820.5228600099433,
946.2127796359559,663.8321478700504,985.2512770775152,9.225500089388976,578.7474123335252,819.7303688269465,
945.6372406783685,664.860515215962,984.8375494099806,9.146924590553844,577.944035295532,818.9437857226817,
941.2751617666531,679.9802886072891,988.0954744633095,8.15108194913309,628.6856987050332,814.5156484881115,
934.9218149399173,748.2757907810449,991.9679825399531,7.9315588941161375,752.1323772343377,830.2909089373894,
934.636877505546,749.1928539990655,991.6050817240355,7.880546739979211,754.842379062533,830.1707414151904,
